#time[ms], position x[m], position y[m], accuracy[m], floor[i], type_id
1493204372184,91.68648515142631,54.01813169688182,5,0,0
1493204373183,91.45020748486208,54.15028573564769,5,0,0
1493204374177,91.35997667562765,54.17654524155,5,0,0
1493204375182,91.30006331126206,54.19224458689008,3,0,0
1493204376194,91.26023426247865,54.20209630483615,3,0,0
1493204377143,91.23396749982031,54.2085071598975,5,0,0
1493204378144,91.2171709847826,54.21276499217726,5,0,0
1493204379143,91.20712180167953,54.21560219841272,5,0,0
1493204380149,91.20185648133285,54.21746583146918,5,0,0
1493204381154,91.19987511920586,54.21865110816822,5,0,0
1493204382155,91.2000147958473,54.2193675292154,5,0,0
1493204383162,91.20139361689925,54.21977037591142,5,0,0
1493204384158,91.20337297664926,54.21997533904911,5,0,0
1493204385197,91.31707796054764,53.95270659726346,5,0,0
1493204386194,91.39364973546456,50.34143366213409,3,0,0
1493204387233,91.90267962980118,50.13456234935097,3,0,0
1493204388214,92.0172427315169,49.72532370491729,5,0,0
1493204389212,92.42576289891599,46.99478611145924,5,0,0
1493204390216,92.38113970006502,46.89196121661221,3,0,0
1493204391213,91.96323214580907,47.49086723052065,3,0,0
1493204392210,91.82623631011286,48.32650388408797,3,0,0
1493204393206,91.6776686985303,48.91153815412969,5,0,0
1493204394208,91.49657833849621,49.21933544798895,3,0,0
1493204395204,91.33546228763376,49.4754016131755,3,0,0
1493204396238,91.16649810414806,49.91935037913318,5,0,0
1493204397228,92.11403176006218,49.04510367307176,3,0,0
1493204398234,91.81911037009357,49.53033408564947,3,0,0
1493204399241,91.82696582155211,50.35055692082368,3,0,0
1493204400215,91.7473993256024,50.83826964763276,3,0,0
1493204401339,90.73700579362139,52.53968436461929,3,0,0
1493204402432,89.63900243580763,53.16111734085493,3,0,0
1493204403546,89.20687773153954,54.28815932604368,3,0,0
1493204404493,89.35366593066139,55.97244021172897,3,0,0
1493204405546,89.29196210475253,57.01839719541274,3,0,0
1493204406587,89.24990635211013,57.3284321191804,3,0,0
1493204407692,89.21762597775056,57.71640390645365,3,0,0
1493204408691,89.19958453814446,57.65222508553785,5,0,0
1493204409789,89.19019205803623,57.6055067656814,5,0,0
1493204410878,89.193192754229,57.41430352961165,5,0,0
1493204411800,89.19855973457763,57.25740864967827,5,0,0
1493204412803,89.19057136690941,57.34061539461852,5,0,0
1493204413811,89.19242398429506,57.28366448503815,5,0,0
1493204414807,89.18329662272508,57.40602486288939,5,0,0
1493204415814,89.18665611404961,57.34582380974345,5,0,0
1493204416811,89.18045634878297,57.43389785072059,5,0,0
1493204417813,89.18575372791476,57.3512134693257,5,0,0
1493204418822,89.17786658596521,57.46747511727197,5,0,0
1493204420005,89.17786658596521,57.46747511727197,3,0,0
1493204420992,94.64958403339438,70.61918690268936,3,0,0
1493204422104,96.37316832135687,71.8786495924335,3,0,0
1493204423137,96.44718656532535,73.34317104797671,3,0,0
1493204424163,96.36498756054694,74.01976014531287,5,0,0
1493204425187,95.64637592096686,74.35667701217172,5,0,0
1493204426226,96.0203738754004,74.40581680500853,5,0,0
1493204427239,95.41106268921233,73.80124663922084,3,0,0
1493204428235,95.5616831119697,73.44807470432751,5,0,0
1493204429353,95.40164600293686,75.41374245246787,3,0,0
1493204430378,95.63142352674708,75.33738698601417,3,0,0
1493204431385,97.73803715513152,76.54004897694935,3,0,0
1493204432397,98.15321303466681,77.60130415002192,5,0,0
1493204433412,98.05092396914233,78.24331706272737,3,0,0
1493204434392,97.4395233788116,78.43138795087224,5,0,0
1493204435472,95.77674256909586,79.37392921029068,3,0,0
1493204436586,95.52864547922165,79.10050078648719,3,0,0
1493204437598,95.42647231121086,79.5257195620981,3,0,0
1493204438586,95.58878744143654,79.15373875328646,3,0,0
1493204439683,94.91509290392429,78.98575209453602,3,0,0
1493204440798,94.5950789567997,78.92185381074232,3,0,0
1493204441806,94.23806924644126,78.86338343843187,5,0,0
1493204442817,93.93602133722602,78.81966946745477,5,0,0
1493204443821,93.71676845425351,78.79054988570238,3,0,0
1493204444814,93.57703308154488,78.77384111981962,5,0,0
1493204445928,93.43010277696996,78.75493362591457,5,0,0
1493204446754,93.40761413728693,78.75568400452816,5,0,0
1493204447756,93.24282086455214,78.73261404366265,5,0,0
1493204448756,93.19871069510299,78.7279593448517,5,0,0
1493204449764,93.1952499983681,78.72900245121517,5,0,0
1493204450762,93.28154768914534,78.74375553972079,5,0,0
1493204451765,93.39776913832921,78.76284494867475,5,0,0
1493204452776,93.37600870724418,78.75985327252161,5,0,0
1493204453768,93.38928580045584,78.76224123230651,5,0,0
1493204454912,89.65051762686753,75.63302487996106,3,-1,0
1493204456036,89.65051762686753,75.63302487996106,5,-1,0
1493204456973,89.65051762686753,75.63302487996106,5,-1,0
1493204458042,82.40885176463344,88.67776567253151,5,0,0
1493204459109,83.52340310701334,89.08418292498361,5,0,0
1493204460231,81.74584120360336,89.42793271318634,5,0,0
1493204461255,80.970576905236,89.52158840001235,5,0,0
1493204462293,78.09116018491349,88.41060359624957,5,0,0
1493204463292,74.73676928559199,86.8021506057824,3,0,0
1493204464385,74.70251495668673,87.44989841486162,5,0,0
1493204465503,73.42907106752602,85.54300672978982,3,0,0
1493204466513,73.42246725170794,85.17616697222375,5,0,0
1493204467535,73.49772961418755,85.13648950363235,5,0,0
1493204468544,73.24814663346267,84.80167830168799,5,0,0
1493204469560,72.66114310335433,84.35989163636509,3,0,0
1493204470570,71.70989784904606,84.01445184208244,3,0,0
1493204471585,73.86967473563116,85.82759456766431,3,0,0
1493204472589,73.01132643763067,84.57543286156213,5,0,0
1493204473602,68.3188496489541,77.3462455608768,3,0,0
1493204474605,67.73859745074287,76.73754942591628,5,0,0
1493204475595,67.46313504176521,76.44306810786142,3,0,0
1493204476616,67.26351717713058,76.23248088048568,5,0,0
1493204477724,67.11776787696283,76.083101514368,3,0,0
1493204478693,67.01703985939191,75.98930500996067,5,0,0
1493204479729,66.95212820651413,75.93715118905203,5,0,0
1493204480760,66.91493027042505,75.91142230996647,5,0,0
1493204481798,66.89748003020517,75.90170876115124,5,0,0
1493204482723,66.89294251736081,75.90173457613962,5,0,0
1493204483720,66.89621458277718,75.90746557170445,5,0,0
1493204484735,66.90370383367784,75.91612872129912,5,0,0
1493204485723,66.91295697752064,75.92580687973933,5,0,0
1493204486733,66.92237077868339,75.93523828871069,5,0,0
1493204487739,66.93097997425772,75.94367370257619,5,0,0
1493204488754,66.93828820907494,75.95074926488567,5,0,0
1493204489853,67.70955804546652,76.76991040996909,5,0,0
1493204490956,69.09598079349229,77.72654119258232,3,0,0
1493204492053,70.15791250864338,80.81563294034184,3,0,0
1493204493155,69.91440684971343,81.60538270266848,5,0,0
1493204494167,69.9137093759492,82.57801914144802,3,0,0
1493204495169,70.22358888669923,82.91748467622519,3,0,0
1493204496198,70.58431907498775,83.14999254377051,3,0,0
1493204497178,70.94074956674767,83.33105454610261,5,0,0
1493204498264,71.17700043984939,83.61486150765839,3,0,0
1493204499355,71.01274852875822,84.21611843218277,3,0,0
1493204500458,70.81992775652483,84.46632563139219,3,0,0
1493204501423,70.68944444294139,84.60104156328025,3,0,0
1493204502502,71.250785012246,84.41141836250857,5,0,0
1493204503583,71.52666582408503,84.08479338636498,3,0,0
1493204504699,71.6914806000479,84.11597151249023,3,0,0
1493204505662,71.79627251845744,83.95143394993764,3,0,0
