#time[ms], position x[m], position y[m], accuracy[m], floor[i], type_id
1493205378088,21.65972727195935,94.24166670865044,5,1,0
1493205379108,21.648,94.24715553367871,5,1,0
1493205379603,21.648,94.24715553367997,5,1,0
1493205380632,21.76086881396059,94.09296489229143,5,1,0
1493205381598,21.76078890811855,94.09141682539872,5,1,0
1493205382700,22.41909013068227,93.94152508371295,3,1,0
1493205383675,22.88912931043621,94.12279700903483,3,1,0
1493205384689,23.5697128612903,94.20849854228037,3,1,0
1493205385695,24.17592258587843,94.15822242583486,3,1,0
1493205386683,24.20113977495738,94.52551701552856,5,1,0
1493205387716,25.51947691351645,93.62726411653978,5,1,0
1493205388716,25.75342780694696,93.35824158344062,5,1,0
1493205389715,29.68322967688169,93.53761118349458,3,1,0
1493205390782,30.59943571599766,93.19469614012461,5,1,0
1493205391817,31.29984819043301,93.18489872387298,3,1,0
1493205392833,32.10699672236853,93.19239990720357,5,1,0
1493205393823,32.16575947384926,93.44207387894208,3,1,0
1493205394831,32.05132809892015,93.75090379392066,5,1,0
1493205395829,32.99201118932174,92.64023815077842,5,1,0
1493205396878,42.52071052293581,86.98348218893351,5,1,0
1493205397871,41.63961442110159,86.92608021088249,5,1,0
1493205398867,41.10727644156119,86.97328236185204,5,1,0
1493205399894,40.65087759540344,86.85987852666328,5,1,0
1493205400680,40.65872444919736,86.81947244346225,5,1,0
1493205401678,40.67002956698867,86.80505353204387,3,1,0
1493205402695,40.93878885916065,87.6030731893654,5,1,0
1493205403705,41.02545123494331,88.10020942692539,5,1,0
1493205404696,42.19420654827468,88.3332994428486,5,1,0
1493205405691,50.74721847290427,87.57253714615302,3,1,0
1493205406702,51.90201375776859,87.05424672905913,3,1,0
1493205407724,52.38979590885526,86.80188512829736,3,1,0
1493205408768,54.03042258201416,86.93416508493138,3,1,0
1493205409778,59.16245320114412,86.19660843451865,3,1,0
1493205410789,59.91313257334382,86.5858250258526,3,1,0
1493205411803,59.37865530204819,87.19411475676084,3,1,0
1493205412840,58.69634795576719,87.0094225995537,3,1,0
1493205414198,59.0147568166517,87.37203089987271,3,1,0
1493205415163,58.8256989348847,87.35146891410901,3,1,0
1493205416266,59.69494954755024,87.03869680890075,3,1,0
1493205417197,60.91175092321378,87.03530949948168,5,1,0
1493205418256,62.82969909191155,87.81239270168359,3,1,0
1493205419404,73.89173236544455,93.01156797540131,3,1,0
1493205420421,75.68771540072383,92.50981193071124,3,1,0
1493205420804,76.45476955418411,92.15590663643029,3,1,0
1493205421874,76.49093472514758,92.82639269845991,3,1,0
1493205422986,76.56376292471926,92.79928568967475,3,1,0
1493205423930,77.03067350097662,92.49078435212134,3,1,0
1493205425009,78.39930093767114,93.53883595593514,3,1,0
1493205426128,79.10453913482175,93.30444657152057,3,1,0
1493205427121,82.94902027772258,93.58430226524067,5,1,0
1493205428217,83.67484379384962,93.83405707241914,5,1,0
1493205429187,84.05245461324007,94.01642772309758,3,1,0
1493205430249,84.15105776345636,94.28149300225277,3,1,0
1493205431328,85.60675199390107,94.47649787491629,3,1,0
1493205432354,86.0751206451279,94.21176701439541,3,1,0
1493205433453,86.44996402237733,94.06873203726462,3,1,0
1493205434567,86.29100023913895,93.878828779034,3,1,0
1493205435570,86.04893207023036,93.72353182088625,3,1,0
1493205436500,86.3116808364812,93.54102834486324,3,1,0
1493205437613,86.91093507148528,93.23256328440785,5,1,0
1493205438642,91.11034651287203,90.57953044403008,5,1,0
1493205439127,92.42658494197029,88.87431098990152,5,1,0
1493205440191,92.1679763515187,88.72813123068951,3,1,0
1493205441312,92.35571928549265,88.34447052299625,3,1,0
1493205442282,92.92736937310704,87.78955484181515,3,1,0
1493205443363,92.50235100128351,87.89491614574358,3,1,0
1493205444471,91.72922221692725,88.52263216611074,3,1,0
1493205445447,91.56705979085514,88.74361906217291,3,1,0
1493205446529,91.83955034417085,88.83562539875736,5,1,0
1493205447569,92.77297155711231,88.5535079658748,5,1,0
1493205448665,93.10881528735402,88.29256507843124,5,1,0
1493205449738,95.01974003033006,87.25083804444677,5,1,0
1493205450764,94.2018393167687,87.73351013802981,3,1,0
1493205451812,92.79634958863473,88.48213886334963,3,1,0
1493205452879,93.51492083367259,87.78627519704912,3,1,0
1493205453957,93.10712803220814,88.07725483886141,3,1,0
1493205455036,90.9912529137282,90.19804616161447,3,1,0
1493205456044,91.09039610329926,89.40442356829197,3,1,0
1493205457103,91.1322550581552,89.06399404464328,3,1,0
1493205458208,91.49320998098634,88.96008828531036,5,1,0
1493205459108,92.06616152215928,88.76407160680347,5,1,0
1493205460216,92.52397242352313,88.29316175370325,3,1,0
1493205461218,92.85515976371259,87.91266765170955,5,1,0
1493205462195,92.1176371466496,87.99020659539232,5,1,0
1493205463251,91.69002325998015,88.2243935860246,3,1,0
1493205464324,91.28452516738538,88.71351332143101,3,1,0
1493205465385,91.23803985741127,88.92505676468353,3,1,0
1493205466453,91.16859245683604,89.53248258049278,3,1,0
1493205467493,91.54804254566413,88.83044819587187,5,1,0
1493205468604,91.92285793330336,88.82081192989652,5,1,0
1493205469616,94.56441408504429,88.50865640648577,3,1,0
1493205470593,95.31489703876105,87.65858166724848,5,1,0
