#time[ms], position x[m], position y[m], accuracy[m], floor[i], type_id
1493204983048,95.4170977953741,47.09494901594751,5,1,0
1493204984082,95.38479799999635,47.49421580027078,5,1,0
1493204984280,95.75512818524554,47.5860778343428,5,1,0
1493204985327,96.48536574532315,47.40358261975581,5,1,0
1493204986357,100.2239251003265,46.6487367479807,5,1,0
1493204987372,100.7482757205169,46.69615193862051,5,1,0
1493204988408,102.8322952012155,45.93180528529822,5,1,0
1493204989411,102.462657160925,45.72652910137946,5,1,0
1493204990418,102.4980671973778,45.7162952883607,3,1,0
1493204991427,102.6504506438444,45.48985539827708,3,1,0
1493204992445,103.4864761710885,45.34896275347639,3,1,0
1493204993444,105.4575206911043,45.7004150621006,3,1,0
1493204994465,104.8999948576755,45.48620550532361,5,1,0
1493204995510,112.8708460085066,43.5091233611448,5,1,0
1493204996510,115.1585448562915,42.66387858667505,3,1,0
1493204997514,116.2535627538486,42.69727352867652,5,1,0
1493204998564,118.1291718416793,42.51133451503281,3,1,0
1493204999605,119.4868279996188,43.49422574419726,5,1,0
1493205000599,119.0915683561946,42.53840236972147,5,1,0
1493205001619,121.9123621983117,41.67715082125976,5,1,0
1493205002694,123.2333220341611,41.8804175405111,5,1,0
1493205003682,125.7045820706112,42.84762106217342,5,1,0
1493205004569,126.750744094287,44.29173674322777,5,1,0
1493205005609,127.2986535679848,44.98220020401063,5,1,0
1493205006579,127.6169212251067,45.3760898954078,5,1,0
1493205007613,129.2304709673877,45.92596031506676,5,1,0
1493205008633,130.3353149782595,47.33299092899664,5,1,0
1493205009601,131.2011352554698,49.00866868626146,3,1,0
1493205010631,131.7164017835094,49.51866104616312,5,1,0
1493205011655,131.7356497760429,50.8365805467118,3,1,0
1493205012686,131.6991099694782,51.90900544419591,3,1,0
1493205013660,131.576105717077,52.95664169417824,3,1,0
1493205014673,132.6012810187175,52.31580117142078,3,1,0
1493205015670,133.124121266632,53.75272133768291,5,1,0
1493205016674,133.299,55.21684555752888,5,1,0
1493205017726,133.2607281897705,57.67016274792481,5,1,0
1493205018768,132.6370500016427,61.52341550025352,5,1,0
1493205019767,132.7733972102156,62.0962747522902,5,1,0
1493205020794,133.1491948624395,63.86682595408371,5,1,0
1493205021794,133.5021375215242,66.2717342967556,5,1,0
1493205022790,132.8346782891005,68.1080105039261,3,1,0
1493205023813,132.6947123971503,71.80238108290428,5,1,0
1493205024293,132.6381099867749,72.68620436119348,5,1,0
1493205025327,130.6609852593879,74.05750775462732,3,1,0
1493205026374,129.1363458510239,76.8540786489983,3,1,0
1493205027402,128.62680939379,79.85237326702155,3,1,0
1493205028401,129.3728375827503,79.32603319669049,5,1,0
1493205029474,129.5723477175194,80.50364139848929,5,1,0
