#time[ms], position x[m], position y[m], accuracy[m], floor[i], type_id
1493203594467,95.19527836926549,43.06948823693662,5,0,0
1493203595471,95.22005187946314,43.0153273108664,3,0,0
1493203596454,95.22008989230682,43.0048913818672,3,0,0
1493203597478,95.2056076792045,43.0211711258805,3,0,0
1493203598437,95.18455152049754,43.05073154850518,5,0,0
1493203599434,95.16200114413603,43.08459840394977,5,0,0
1493203600442,95.1407973920125,43.1174974812098,5,0,0
1493203601442,95.12233340338121,43.14667821489063,5,0,0
1493203602450,95.10713212858563,43.17096701356297,5,0,0
1493203603445,95.09520595495377,43.19014081010639,5,0,0
1493203604446,95.08627707399295,43.20453050893158,5,0,0
1493203605453,94.38185548100357,44.14788279819138,5,0,0
1493203606618,90.29277494104358,56.43110348792172,3,0,0
1493203607703,89.6964851957059,56.46824772228567,3,0,0
1493203608812,89.74758994690663,55.9437388383817,3,0,0
1493203609785,89.79741627390405,55.7380417527952,3,0,0
1493203610867,89.23969867363566,56.46136868624597,5,0,0
1493203611930,87.51602604198364,59.29424045545872,5,0,0
1493203613016,86.44143841557944,59.74151174044278,3,0,0
1493203614106,87.39646487678797,61.98508491810831,5,0,0
1493203615161,87.9078859915053,62.21362525342349,5,0,0
1493203616232,88.16506339388344,62.47178674005585,5,0,0
1493203617307,88.221152327331,62.59440471897113,5,0,0
1493203618411,86.88162546256547,62.22827121939586,5,0,0
1493203619407,80.90786402387329,61.36904425481263,5,0,0
1493203620505,80.28779027412661,62.12440597892857,3,0,0
1493203621593,80.06703790049265,62.46938916770265,5,0,0
1493203622690,80.79869504305782,62.31111648422081,5,0,0
1493203623784,84.075037735959,61.85372725936433,5,0,0
1493203624904,84.88186375162952,62.17457762947146,5,0,0
1493203625920,85.1395623303182,62.3572512885844,5,0,0
1493203626914,85.23444726044329,62.44350466859054,5,0,0
1493203628000,85.22934352938084,62.47058218313683,5,0,0
1493203629079,85.3061649572393,62.52689406792927,5,0,0
1493203630149,85.27332293993148,62.52060159535712,5,0,0
1493203631072,85.32666732026182,62.55540315637869,5,0,0
1493203632070,85.27416785983742,62.53172981825949,5,0,0
1493203633072,85.19545236483874,62.49198225191518,5,0,0
1493203634077,85.39741653250975,62.60367316739128,5,0,0
1493203635080,85.39081744627715,62.60146279648833,5,0,0
1493203636078,85.50556957371911,62.66461232091363,5,0,0
1493203637083,85.4245256748527,62.62097108318472,5,0,0
1493203638092,85.31267711082155,62.423656397812,5,0,0
1493203639084,85.23572241917059,62.34506911269715,5,0,0
1493203640085,84.33059686496053,64.4419278105574,5,-1,0
1493203641282,81.25357060719027,75.40526067504211,5,-1,0
1493203642296,80.71898096363287,76.11463851245918,5,-1,0
1493203643303,77.29127790969109,79.26658270607626,5,-1,0
1493203644288,77.29127790969109,79.26658270607679,5,-1,0
1493203645382,76.87343761255408,79.49548015877116,5,-1,0
1493203646490,77.50689805223968,70.13909850574144,3,-1,0
1493203647525,78.53967946424608,70.85768114851757,5,-1,0
1493203648518,79.13309801638405,70.73866765056691,5,-1,0
1493203649650,79.12103974863537,70.26228200520029,5,-1,0
1493203650691,78.43641975553236,70.95688215747934,5,-1,0
1493203651711,76.95094823010045,71.23495333193773,5,-1,0
1493203652725,68.74786975513889,73.57610974708567,5,-1,0
1493203653730,68.776315793526,73.64660469277958,5,-1,0
