#time[ms], position x[m], position y[m], accuracy[m], floor[i], type_id
1489504071461,122.9799044762231,81.94206176428179,3,1,0
1489504072514,121.2798654234732,81.66974195848641,5,1,0
1489504073556,120.1231867098287,80.37115037655414,3,1,0
1489504074621,120.0263206262726,79.76334223579279,3,1,0
1489504075693,120.0383940257367,79.43334680517268,3,1,0
1489504076764,118.2193746058118,79.88544626769951,3,1,0
1489504077864,117.3365517234073,79.91301671477801,3,1,0
1489504078938,115.8744220600835,79.34632138674439,3,1,0
1489504080013,115.4369192865817,80.01295815480402,3,1,0
1489504081105,117.0159062647001,79.83881174121775,3,1,0
1489504082191,115.8195758550341,80.39648491674784,3,1,0
1489504083272,114.4779676562333,80.33833751132734,5,1,0
1489504084576,113.7666180537841,80.28775319442111,3,1,0
1489504085696,113.3803246475267,79.72455397927236,3,1,0
1489504086726,112.4349172275739,79.61027750487996,3,1,0
1489504087752,110.4577911127871,80.89953788198129,3,1,0
1489504088744,109.5349267328104,81.22813295070787,3,1,0
1489504089810,109.1888907317542,80.993211247476,3,1,0
1489504090927,108.6140235173365,80.77727819560853,3,1,0
1489504091962,108.3513973160998,81.25323341262633,3,1,0
1489504092916,108.3158401762223,81.61909417575644,3,1,0
1489504093252,107.9679489792585,81.08801299272393,3,1,0
1489504094242,107.8608997188046,80.73113217766256,3,1,0
1489504095414,108.0505622421651,80.95717018358586,3,1,0
1489504096537,107.6939077189012,80.90367772999329,5,1,0
1489504097532,105.4695632273967,79.55235793048544,3,1,0
1489504098623,103.8118396895845,79.06731395147199,3,1,0
1489504099703,104.1043103341315,79.54912272887753,3,1,0
1489504100819,103.0981735817835,79.83408329761741,3,1,0
1489504101798,102.8630154248376,80.07150497143772,3,1,0
1489504102973,100.6931445411951,78.97348589781528,3,1,0
1489504104012,100.3654678475901,79.19927387538225,3,1,0
1489504105056,99.82476350726023,79.37638933415782,3,1,0
1489504106119,98.67112839566757,78.23853241425343,5,1,0
1489504107158,98.06821419448134,78.52098378223711,5,1,0
1489504108183,98.51698273795841,79.38652884711769,3,1,0
1489504109224,98.53411494294957,79.95925978381334,5,1,0
1489504110305,98.61498513770738,80.28164313087149,5,1,0
1489504111369,98.15470738979788,81.77752222423989,5,1,0
1489504112408,96.33376188086984,81.99708903604308,3,1,0
1489504113320,95.31855166419852,82.88548372603876,5,1,0
1489504114315,95.4523368464275,84.11690010429214,3,1,0
1489504115449,95.36919519133525,84.63188350477597,5,1,0
1489504116465,95.7432160338975,86.42333387885901,3,1,0
1489504117502,96.84793533490982,85.9219211679151,5,1,0
1489504118468,96.71319228192424,85.93116933143101,3,1,0
1489504119615,97.13726648367113,85.4251342119781,5,1,0
1489504120676,96.81074457590383,85.3409512520318,5,1,0
1489504121701,96.27451445365921,86.21398089456702,5,1,0
1489504122697,96.37765374480959,86.00275602113969,3,1,0
1489504123811,96.53489346202653,85.49634481657877,3,1,0
1489504124802,96.13122783067266,85.75642392618079,3,1,0
1489504125870,94.72728506252601,86.47839546803266,3,1,0
1489504126961,94.52539527175183,85.82886421230013,3,1,0
1489504128066,92.90061137432106,84.57898668917805,3,1,0
1489504128765,92.09409048531502,83.97355421589272,3,1,0
1489504129867,91.58069419022338,83.61006472660299,3,1,0
1489504130878,91.43384386252012,83.51514573474428,3,1,0
1489504131893,90.4780844547214,85.08590222727024,5,1,0
1489504132843,85.51981141228262,93.96361755609354,5,1,0
1489504133971,85.32020923764517,94.62507461384946,5,1,0
1489504135045,85.49993855944672,94.68451627923642,5,1,0
1489504136050,84.87926059265777,94.78054119463377,5,1,0
1489504137099,85.13783053482553,94.49436003763805,5,1,0
1489504138115,85.3989053157658,94.30332136340684,3,1,0
1489504139171,85.18928985752284,93.84988993019547,3,1,0
1489504140176,85.3301264912206,94.18242304800714,3,1,0
1489504141155,85.5573073377674,94.29930114044186,3,1,0
1489504142259,85.05375409039993,94.21669997149606,3,1,0
1489504143269,84.26931732169001,93.86121645431936,3,1,0
1489504144296,82.80054772741562,94.85911212199639,5,1,0
1489504145294,82.16279001427714,95.45761586310611,5,1,0
1489504146354,80.7520483648179,94.75534916059713,3,1,0
1489504147448,80.24164576664047,94.36399543904197,5,1,0
1489504148470,79.02391569360941,93.52966139604621,5,1,0
1489504149610,77.08739745427823,93.84378491078377,3,1,0
1489504150672,76.94106093559883,94.51231138472465,3,1,0
1489504151689,77.04310893659537,94.83873925436227,3,1,0
1489504152719,76.14922668662055,93.62134098778336,5,1,0
1489504153364,76.28740971667018,93.79290807389282,5,1,0
1489504154390,77.30129957438857,93.3996731977346,3,1,0
1489504155445,77.18212983776218,93.29115001779235,3,1,0
1489504156507,77.31374397625373,93.11843306517572,5,1,0
1489504157601,76.09895722914209,92.41897626968338,5,1,0
1489504158621,74.17833273949334,92.18481083787375,3,1,0
1489504159721,75.35357293695866,90.46243062632409,3,1,0
1489504160694,73.9370268046298,88.95060809824152,3,1,0
1489504161791,65.18870807901271,83.9686654320403,5,1,0
1489504162821,64.17606865625173,83.44309187702608,3,1,0
1489504163898,65.47563201006719,82.17890185215151,5,1,0
1489504164977,65.88221072296612,82.47254468742004,3,1,0
1489504166042,66.15211441348114,82.45228078327945,5,1,0
1489504167097,65.70418003898229,83.07295436339207,5,1,0
1489504168193,65.31905003750033,82.92844864698408,5,1,0
1489504169044,63.99416289394463,83.49952199505719,3,1,0
1489504170073,64.70489473665479,84.36368821018566,3,1,0
1489504171083,64.79526191382752,83.1406777323221,5,1,0
1489504172091,64.64790082224299,80.5923699865391,5,1,0
1489504172826,64.74573634612217,77.24839823641982,5,1,0
